jobid,jobtitle,company,category,experience,chunk_id,chunk_text
190316600360,Software Programmer / Software Developer,Axis Jobs,Software Development,0 - 2 yrs,10,"Job Title: Software Programmer / Software Developer Company: Axis Jobs Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Mumbai , Hyderabad / Secunderabad , Guwahati , Bhubaneshwar , Raipur , Chandigarh Job Description: Job Description Responsible for creating or modifying existing code to add new features and improve performance. Knowledge of ASP.NET, HTML, CSS, JavaScript, C#/.NET, WCF and Web services, SQL Server, Stored Procedures, Cursors, Triggers, Schedulers. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Energetic & self-motivated"
190316600360,Software Programmer / Software Developer,Axis Jobs,Software Development,0 - 2 yrs,11,"& team player.Good Computer Basic knowledge.Good Verbal communication or Written communication .Team worker or Self-motivation Power. Company Profile: Axis Jobs Axis Jobs Private Limited is a major technology, engineering, construction, manufacturing and financial services conglomerate, with global operations Service Provider in India. Photo 1"
10615500683,Application Developer,Adya Wifi Metering Private Limited,Software Development,0 - 2 yrs,12,"Job Title: Application Developer Company: Adya Wifi Metering Private Limited Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: Industrial Products / Heavy Machinery Location: Hyderabad / Secunderabad Job Description: Job Description Job Description: Looking for Experienced and dynamic candidates with 6shy24 Months of experience. He /She should have knowledge of Dot Net/C#/OOPS/ SQL/PL SQL. Must to have: Developer with experience in .NET 4.0 / C#, WCF and SQL Server, Experience or exposure to WPF, Silverlight or Azure is desirable Ability to build code and unit test independently. Key Skills: Oops Concepts,C#.Net,ASP.Net,SQl Server,Oracle Server, Javascript,JQuery. BE (Electrical, electronics, instrumentation, Computer engineers preferred). Excellent communication and writing skills in English is MUST. Ability to work as Team member Excellent knowledge of MS Word, PowerPoint and Excel Salary: Not Disclosed by Recruiter"
10615500683,Application Developer,Adya Wifi Metering Private Limited,Software Development,0 - 2 yrs,13,"Industry: Industrial Products / Heavy Machinery Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Application Developer Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Adya Wifi Metering Private Limited The word ADYA in Sanskrit means âOriginalâ. True to its name, Adya has developed products and solutions that are âORIGINALâ which support the entire smart grid chain.Started with a mission, to create SMART and efficient solutions in the utilities sector,Adya has created a niche position for itself by being able to offer end-to-end solutions that combine high-end metering, advanced communications, innovative software tools and consulting expertise.Our research initiatives and innovations will effectively help transform the way utilities and energy retailers manage their resources and data, and unify the information from their disparate sources, to achieve"
10615500683,Application Developer,Adya Wifi Metering Private Limited,Software Development,0 - 2 yrs,14,"their smart grid vision. We help them serve their customers better, across the globe. Photo 1"
10216504547,Software Engineers,Quad One Technologies Pvt Ltd,Software Development,0 - 2 yrs,15,"Job Title: Software Engineers Company: Quad One Technologies Pvt Ltd Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Hyderabad / Secunderabad Job Description: Job Description Job Description : BE / MCA with 6 months to 18 months experience in development, testing and maintenance of web based applications. Skill set required: Java / .Net / PHP / JSP with MySql or MS Sql or Oracle. Knowledge of technical documentation would be a plus point. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above"
10216504547,Software Engineers,Quad One Technologies Pvt Ltd,Software Development,0 - 2 yrs,16,Company Profile: Quad One Technologies Pvt Ltd Quad One Technologies Pvt Ltd Photo 1
10615505470,Java Developer,Infochord Technologies Pvt. Ltd.,Software Development,0 - 1 yrs,17,"Job Title: Java Developer Company: Infochord Technologies Pvt. Ltd. Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Hyderabad / Secunderabad Job Description: Job Description Java Developer Ability to quickly understand project life cycle Must be quality oriented and should have ability to meet tight deadlines. Ability to work independently and should be a good team player. To Analyse and understand the functionality and coordinate with the development team to get the defects resolved. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java Developer Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description"
10615505470,Java Developer,Infochord Technologies Pvt. Ltd.,Software Development,0 - 1 yrs,18,"above Company Profile: Infochord Technologies Pvt. Ltd. Infochord is an offshore Web & software development company based in Hyderabad, India. We provide Enterprise solutions that include Website development, Website designing, software development, E-commerce Website development, iphone apps development, Facebook apps development, Web programming, Zend programming. We are technologically advanced organization with strong experienced and committed IT professionals, Who aim to provide quality IT enabled Services by adapting the latest technologies. Photo 1"
261115006177,Opening for Freshers / Junior Software Developer,ZEiSys Technologies Private Ltd.,Software Development,0 - 1 yrs,19,"Job Title: Opening for Freshers / Junior Software Developer Company: ZEiSys Technologies Private Ltd. Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Chennai Job Description: Job Description We are hiring freshers with good aptitude. Hiring will be based on internship, Successful candidates get the opportunity to develop applications using .NET technologies, Oracle, MSSQL. Agile environment using Scrum, TDD and industry best practice. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills junior software developer fresher iOS development Oracle Sql Server Programmer Agile .Net developer .net programmer"
261115006177,Opening for Freshers / Junior Software Developer,ZEiSys Technologies Private Ltd.,Software Development,0 - 1 yrs,20,"dot net developer c# developer asp.net developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ZEiSys Technologies Private Ltd. ZEiSys Technologies Private, Ltd. (ZEiSys) is a leading provider of information technology (IT) solutions headquartered in Chennai. We perform work for our parent company for clients such as the US DoD, USPS, La Poste, FEMA etc. Photo 1"
301115087593,Php Developer,Web Work Inc,Software Development,0 - 3 yrs,21,"Job Title: Php Developer Company: Web Work Inc Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 3 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Ahmedabad , Chennai , Mumbai , Bengaluru/Bangalore , Pune , Hyderabad / Secunderabad Job Description: Job Description Good communication skills. -Understand business requirements -Candidate must hold excellent knowledge of PHP & Wordpress. -Must be able to work well with a team. -Additional key skills like Joomla, Drupal_ magento PHP5+, MySQL5+, ZEND, -Knowledge on Salary:INR 2,00,000 - 4,25,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills PHP Joomla Wordpress Magento Zend Key Skills Communication Skills Desired Candidate Profile Education- UG: Any Graduate"
301115087593,Php Developer,Web Work Inc,Software Development,0 - 3 yrs,22,"- Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Web Work Inc Web Work Inc Welcome to webworkinc, where we hire best talent with the efficient skills. Our team of experts chooses the best amongst the screened candidates. Photo 1"
120815007627,PHP Developer (0-3yrs),Anubavam Technologies Pvt.Ltd,Software Development,0 - 3 yrs,23,"Job Title: PHP Developer (0-3yrs) Company: Anubavam Technologies Pvt.Ltd Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 3 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Chennai Job Description: Job Description Must have minimum 6months of experience/strong knowledge in PHP web application development Strong experience in developing complex applications using PHP MVC frameworks such as YII Create highly-efficient and dynamic PHP code Troubleshoot, test and maintain the product software and databases to ensure strong optimization and functionality Develop and deploy new features to facilitate related procedures and tools if necessary Design, develop, maintain and optimize secure and scalable web applications in all phases of the development life cycle Analyze requirements and develop application designs PHP with MySQL, Javascript and Ajax"
120815007627,PHP Developer (0-3yrs),Anubavam Technologies Pvt.Ltd,Software Development,0 - 3 yrs,24,"is a must Strong in OOPS and must have worked in depth with PHP 4 and 5 Salary:INR Salary not a constraint for the right candidate Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Javascript Ajax MySQL PHP MVC OOPS Problem Solving php developer web developer yii codeigniter zend web application development Mvc Architecture Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Demonstrate exceptional problem solving skills and analytical abilitiesAdaptable, self-driven, motivated and eager to learnDedicated to solving problems elegantly and innovatively Company Profile: Anubavam Technologies Pvt.Ltd Anubavam is one of the leading IT Solutions and Consulting Services company for organizations ranging from small and medium to Fortune 500 companies. We offer you the opportunity"
120815007627,PHP Developer (0-3yrs),Anubavam Technologies Pvt.Ltd,Software Development,0 - 3 yrs,25,"to work alongside professionals in a dynamic and energizing environment. Your expertise, commitment and dedication are crucial to our success. Our people-oriented practices are the core of our business philosophy. We invite you to build your career with Anubavam and contribute to the growth and success of this company. Photo 1"
11215005404,Junior Software Engineer/ Fresher (java/ .net/ Php/ Testing),Leading Software Development MNC,Software Development,0 - 2 yrs,26,"Job Title: Junior Software Engineer/ Fresher (java/ .net/ Php/ Testing) Company: Leading Software Development MNC Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: B.Tech/B.E. - Computers, Electronics/Telecommunication, Instrumentation, B.Sc - Computers, BCA - Computers PG:M.Tech - Computers, Electronics/Telecommunication, M.Sc - Computers, MCA - Computers Doctorate:Doctorate Not Required Industry: IT-Software / Software Services Location: Mumbai , Chennai , Delhi/NCR(National Capital Region) Job Description: Job Description We are urgently looking for Software Developer/ Programmer (Freshers) for various available positions. Candidates interested in following requirements can apply for selection process. 1) Java/ J2ee Developer 2) .Net, C# Developers 3) Software Test Engineer/ QA 4) PHP/ MySQL Developer 5) Technical Support/ Engineer Applicant should be BE/ B.Tech/ BCA/ MCA or BSc/ MSc (Computer Science/ IT) or Equivalent Excellent knowledge/ skills in above mentioned technologies Salary:INR 2,25,000 - 3,50,000 P.A Industry: IT-Software / Software Services Functional Area:"
11215005404,Junior Software Engineer/ Fresher (java/ .net/ Php/ Testing),Leading Software Development MNC,Software Development,0 - 2 yrs,27,"IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java MySQL J2Ee .Net PHP Software Engineering Testing Quality Assurance Engineering Test Engineering Fresher Trainee Entry Level Asp .Net C# C++ Desired Candidate Profile Education- UG: B.Tech/B.E. - Computers, Electronics/Telecommunication, Instrumentation, B.Sc - Computers, BCA - Computers PG:M.Tech - Computers, Electronics/Telecommunication, M.Sc - Computers, MCA - Computers Doctorate:Doctorate Not Required Excellent knowledge of Java/ J2ee, C# .Net/ PHP/ MySQL or Software TestingShould have excellent communication & analytical skillsExcellent academic record..Both Freshers & candidates having experience in above mentioned profiles can apply. Company Profile: Leading Software Development MNC We specialize in Product Development, by providing comprehensive framework of technology and services that enable companies, their partners and customers to collaboratively conceptualize, design, build and manage products throughout their entire lifecycle. Company today has presence in US, UK and Asia. We have development centres in Bangalore, Gurgaon, Hyderabad"
11215005404,Junior Software Engineer/ Fresher (java/ .net/ Php/ Testing),Leading Software Development MNC,Software Development,0 - 2 yrs,28,"and the US. We have at present major focus on Microsoft Technologies, Enterprise Consumer Mobile Application Solutions and Open Source Solutions. We are also into Internet of Things (IoT), ERP, Big Data and Cloud computing. Photo 1"
31015003649,Fresher Software Engineer,BlueWhale Solutions,Software Development,0 - 1 yrs,29,"Job Title: Fresher Software Engineer Company: BlueWhale Solutions Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Chennai Job Description: Job Description Develops software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle Salary:INR BEST IN Industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java Android PHP .Net Software Engineering Software Development Life Cycle Programming IOS Software Testing Fresher and Trainee Fresher and Trainee and Entry Level Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate -"
31015003649,Fresher Software Engineer,BlueWhale Solutions,Software Development,0 - 1 yrs,30,"Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: BlueWhale Solutions Blue Whale Solutions. Blue Whale Solutions formally known as Open wire Solutions Inc. We are a Software Technology Outsourcing consulting company formed in 2009 and its group founded in 1981, We have been providing services on software, Construction, Photo 1"
231115002248,Software Engineer - Dotnet,Idata Sciences,Software Development,0 - 2 yrs,31,"Job Title: Software Engineer - Dotnet Company: Idata Sciences Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: B.Tech/B.E. - Any Specialization PG:M.Sc - Any Specialization, MCA - Computers, M.Tech - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Chennai Job Description: Job Description Greetings from Maples Imaging,Chennai...!!!! We have urgent openings for .Net Web Developer in our company(Maples Imaging Solution Pvt ltd). Please find the below job description. Skills Required : Nos of Openings : 10 Position : Dot net developer Work Location : Chennai Experience : Dotnet Trained Freshers (Minimum 3 months) Qualification : B.E / B.Tech / M.E / MCA / Msc (2014 & 2015 Passout) - Must have completed degree. - Good in C# ASP.Net MVC Frameworks,HTML5, JavaScript, JQuery, - Strong understanding of OOPS. - Knowledge in writing reusable C# libraries."
231115002248,Software Engineer - Dotnet,Idata Sciences,Software Development,0 - 2 yrs,32,"- Microsoft SQL Server 2008 or 2012- Stored Procedures, Functions, Triggers. Looking for Immediate joinee / Max 20 days NP. Interested Candidates can walk-in directly at the below mentioned address: Walk-in Date: (23-Nov-2015 to 27th-Nov-2015) between 10:30Am to 4:00pm. Venue details: Maples Imaging Solutions Private Limited TEK Towers, No.11, 4th Floor, Left Wing, O M R - Okkiyam, Thoraipakkam, Landmark: Opp. to Hotel Sangeetha Chennai 600 097. Contact Person : Induja.M / Sanjana.S - HR Note :Please carry this call letter while coming for the direct interview. Salary:INR Best in the Industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:Fresher Keyskills ASP.Net MVC C# JQuery MS SQL Server Net Javascript .Net Stored Procedures OOPS Web Development ui development webdeveloper Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization PG:M.Sc - Any Specialization, MCA - Computers, M.Tech - Any Specialization Doctorate:Any Doctorate"
231115002248,Software Engineer - Dotnet,Idata Sciences,Software Development,0 - 2 yrs,33,"- Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Idata Sciences http:// Photo 1"
91015002979,Fresher Software Engineer,BlueWhale Solutions,Software Development,0 - 1 yrs,34,"Job Title: Fresher Software Engineer Company: BlueWhale Solutions Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 1 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Chennai Job Description: Job Description Exp: 0-2years * Develops software solutions by studying information needs; conferring with users; * studying systems flow, data usage, and work processes; *investigating problem areas; following the software development lifecycle Salary:INR 1,00,000 - 3,00,000 P.A. Best in industry Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Fresher and Entry Level Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization,"
91015002979,Fresher Software Engineer,BlueWhale Solutions,Software Development,0 - 1 yrs,35,"Doctorate Not Required Share profile: Ms. Kokilavani Sr. Hr executive, 044-42124760, Bluewhale Solutions 9/3, muthial reddy street, Alandur, St. Thomas mount, Near: NTL Call Taxi Head Office /St.Thomas Mount Railway Station/Metro Station. Company Profile: BlueWhale Solutions Blue Whale Solutions. Blue Whale Solutions formally known as Open wire Solutions Inc. We are a Software Technology Outsourcing consulting company formed in 2009 and its group founded in 1981, We have been providing services on software, Construction, Photo 1"
191115006075,Urgent Freshers Software Engineer/software Developer Java All India,sumitkumar55456@gmail.com,Software Development,0 - 2 yrs,36,"Job Title: Urgent Freshers Software Engineer/software Developer Java All India Company: Category: Software Development Skills: IT Software - Application Programming Experience: 0 - 2 yrs Education: UG: Any Graduate - Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Industry: IT-Software / Software Services Location: Bengaluru/Bangalore , Chennai , Hyderabad / Secunderabad Job Description: Job Description High salary - Very Urgent Freshers Software Engineer/Software Developer Java,Android need all India for own company aPal. Fresher 2010 to Till any year pass. Fresher Java Developer,Tester. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java Android Software Engineering Software Development Desired Candidate Profile Education- UG: Any Graduate"
191115006075,Urgent Freshers Software Engineer/software Developer Java All India,sumitkumar55456@gmail.com,Software Development,0 - 2 yrs,37,"- Any Specialization, Graduation Not Required, B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: the best placement for fresher and experience candidate.. We are leading in Multinational Company. Photo 1"
